skill,avg_salary_with,avg_salary_without,salary_diff,count_with,count_without
Leadership,9215562,5490660,3724902,16,262
SQL/Database,9111111,5591086,3520026,9,269
Digital Marketing,8375000,5605418,2769582,10,268
Cloud (AWS/Azure),8250000,5629637,2620363,8,270
Python,8200000,5659348,2540652,5,273
Java,8071429,5643919,2427510,7,271
English Proficiency,7750000,5555027,2194973,19,259
SAP/ERP,7666667,5661772,2004895,6,272
Communication,6453211,5316650,1136560,95,183
Sales/Marketing,6234835,5540108,694727,66,212
Design/UI-UX,5857143,5696977,160166,14,264
Excel/Office,5481819,5755195,-273376,51,227
Accounting/Finance,5220588,5736598,-516009,17,261
Teamwork,5325498,5850441,-524944,77,201
