skill,Apa Saja,D3,S1,SMA/SMK,total
komunikasi,5.0,24.0,14.0,15.0,58.0
communication,1.0,13.0,23.0,12.0,49.0
tim,6.0,10.0,7.0,24.0,47.0
jujur,4.0,9.0,4.0,23.0,40.0
office,2.0,17.0,13.0,7.0,39.0
teliti,8.0,11.0,6.0,12.0,37.0
sales,1.0,5.0,6.0,24.0,36.0
marketing,1.0,3.0,7.0,25.0,36.0
microsoft,1.0,12.0,12.0,7.0,32.0
excel,0.0,13.0,15.0,3.0,31.0
team,8.0,10.0,6.0,2.0,26.0
detail,2.0,6.0,14.0,3.0,25.0
problem,2.0,11.0,7.0,3.0,23.0
disiplin,2.0,3.0,2.0,14.0,21.0
solving,2.0,11.0,4.0,3.0,20.0
software,2.0,2.0,14.0,1.0,19.0
pemasaran,1.0,11.0,4.0,2.0,18.0
teknik,2.0,4.0,6.0,6.0,18.0
leadership,1.0,6.0,8.0,1.0,16.0
komputer,4.0,2.0,0.0,9.0,15.0
inovatif,3.0,9.0,2.0,0.0,14.0
gigih,0.0,9.0,2.0,3.0,14.0
interpersonal,1.0,6.0,7.0,0.0,14.0
keuangan,0.0,1.0,2.0,10.0,13.0
english,0.0,4.0,9.0,0.0,13.0
word,0.0,8.0,4.0,1.0,13.0
mandiri,0.0,5.0,5.0,2.0,12.0
digital,2.0,3.0,3.0,4.0,12.0
inggris,0.0,3.0,5.0,2.0,10.0
powerpoint,0.0,6.0,4.0,0.0,10.0
accounting,0.0,0.0,9.0,0.0,9.0
presentasi,0.0,4.0,4.0,1.0,9.0
kreatif,3.0,0.0,5.0,1.0,9.0
negotiation,0.0,1.0,7.0,0.0,8.0
design,0.0,4.0,2.0,1.0,7.0
cloud,0.0,5.0,2.0,0.0,7.0
azure,0.0,6.0,1.0,0.0,7.0
analitis,0.0,1.0,6.0,0.0,7.0
sap,0.0,4.0,3.0,0.0,7.0
teamwork,0.0,1.0,3.0,3.0,7.0
desain,1.0,0.0,3.0,3.0,7.0
presentation,0.0,1.0,4.0,1.0,6.0
java,0.0,5.0,1.0,0.0,6.0
database,1.0,1.0,4.0,0.0,6.0
sql,0.0,4.0,2.0,0.0,6.0
aws,0.0,4.0,1.0,0.0,5.0
kepemimpinan,0.0,2.0,3.0,0.0,5.0
python,0.0,3.0,2.0,0.0,5.0
finance,0.0,2.0,3.0,0.0,5.0
erp,0.0,3.0,1.0,0.0,4.0
creative,0.0,0.0,2.0,2.0,4.0
css,0.0,3.0,0.0,0.0,3.0
html,0.0,3.0,0.0,0.0,3.0
javascript,0.0,1.0,2.0,0.0,3.0
php,1.0,2.0,0.0,0.0,3.0
docker,0.0,2.0,1.0,0.0,3.0
linux,0.0,1.0,1.0,0.0,2.0
kubernetes,0.0,1.0,1.0,0.0,2.0
git,0.0,1.0,1.0,0.0,2.0
seo,0.0,0.0,2.0,0.0,2.0
photoshop,0.0,0.0,1.0,1.0,2.0
figma,0.0,0.0,1.0,0.0,1.0
laravel,1.0,0.0,0.0,0.0,1.0
independent,0.0,1.0,0.0,0.0,1.0
mysql,0.0,1.0,0.0,0.0,1.0
negoisasi,0.0,1.0,0.0,0.0,1.0
node.js,0.0,1.0,0.0,0.0,1.0
mongodb,0.0,1.0,0.0,0.0,1.0
react,0.0,1.0,0.0,0.0,1.0
tableau,0.0,0.0,1.0,0.0,1.0
